Battery Voltage (V),Coolant Temperature (°C),DG State (),Engine Speed (RPM),Generator Avg Frequency (Hz),Generator Avg L-L Voltage (V),Generator Avg L-N Voltage (V),Generator L1 Apparent Power (kVA),Generator L1-L2 Voltage (V),Generator L1-N Voltage (V),Generator L2 Apparent Power (kVA),Generator L2-L3 Voltage (V),Generator L2-N Voltage (V),Generator L3 Apparent Power (kVA),Generator L3-L1 Voltage (V),Generator L3-N Voltage (V),Generator Total Active Power (kW),Generator Total Apparent Power (kVA),Generator Total Reactive Power (kVAR),Load Avg Current (A),Load L1 Current (A),Load L2 Current (A),Load L3 Current (A),Lube Oil Pressure (Bar),Machine Status (),Mains Avg Frequency (Hz),Mains Avg L-L Voltage (V),Mains Avg L-N Voltage (V),Mains L1-L2 Voltage (V),Mains L1-N Voltage (V),Mains L2-L3 Voltage (V),Mains L2-N Voltage (V),Mains L3-L1 Voltage (V),Mains L3-N Voltage (V),Run Hour (Hr),Maintenance
28.44,78.83,0,1495,50.03,416.27,240.33,190,415.69,240,188,416.56,240,190,416.56,241,454.14,568,340594.23,787.33,789,783,790,5.03,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.36,78.83,0,1501,49.95,416.85,240.67,186,416.56,241,182,416.56,240,184,417.42,241,445.72,552,334292.07,771.67,778,765,772,4.98,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.36,78.94,0,1499.25,50.04,417.42,241,181,417.42,241,178,417.42,241,180,417.42,241,426.47,539,319853.75,737.33,745,730,737,5.01,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.4,78.94,0,1500.38,49.89,416.85,240.67,193,416.56,241,189,416.56,240,191,417.42,241,456.12,573,342089.78,789.67,798,782,789,5,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.4,78.94,0,1500.38,50.05,417.42,241,190,417.42,241,186,417.42,241,187,417.42,241,448.07,563,336051.85,774.67,783,767,774,5,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.4,78.89,0,1500.38,49.93,416.27,240.33,193,415.69,240,189,416.56,240,190,416.56,241,461.05,572,345785.36,799.33,808,792,798,4.97,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.48,78.94,0,1498.12,50.01,416.27,240.33,180,415.69,240,176,416.56,240,177,416.56,241,429.71,533,322282.53,745,754,738,743,5.03,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.4,78.94,0,1498.75,50.04,416.85,240.67,180,416.56,241,177,416.56,240,178,417.42,241,422.23,534,316673.59,731,737,725,731,5.01,1,0,0,0,0,0,0,0,0,0,1270.3,0
28.4,78.94,0,1498.62,50.08,416.85,240.67,202,416.56,241,199,416.56,240,201,417.42,241,483.07,602,362303.17,836.33,843,829,837,5.01,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.44,78.89,0,1501.25,50,416.85,240.67,197,416.56,241,193,416.56,240,196,417.42,241,464.78,587,348587.87,804.67,812,797,805,5.01,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.36,78.89,0,1499.25,50,416.27,240.33,193,415.69,240,189,416.56,240,191,416.56,241,458.36,572,343769.47,794.67,803,786,795,5,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.36,78.94,0,1500.38,50.04,416.85,240.67,189,416.56,241,184,416.56,240,187,417.42,241,442.83,560,332126.04,766.67,778,757,765,5.03,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.4,79.06,0,1501.88,50,417.42,241,193,417.42,241,189,417.42,241,191,417.42,241,448.26,573,336195,775,784,767,774,5,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.36,78.83,0,1496.12,50.05,416.85,240.67,204,416.56,241,199,416.56,240,202,417.42,241,484.04,604,363026.63,838,847,828,839,5,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.36,78.83,0,1499,49.97,415.69,240,203,415.69,240,198,415.69,240,201,415.69,240,488.45,602,366336,848,858,839,847,5.01,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.4,78.83,0,1496.38,49.97,415.69,240,198,415.69,240,193,415.69,240,196,415.69,240,473.09,587,354814.56,821.33,831,812,821,4.97,1,0,0,0,0,0,0,0,0,0,1270.25,0
28.4,78.78,0,1500.75,50.06,416.27,240.33,190,415.69,240,186,416.56,240,188,416.56,241,451.25,564,338431.26,782.33,792,774,781,4.98,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.4,78.67,0,1501.25,49.92,416.85,240.67,195,416.56,241,191,416.56,240,193,417.42,241,461.51,580,346131.59,799,808,791,798,5,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.44,78.67,0,1499,49.98,416.27,240.33,196,415.69,240,192,416.56,240,193,416.56,241,470.28,581,352706.87,815.33,825,808,813,4.97,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.44,78.56,0,1498.75,49.96,416.27,240.33,194,415.69,240,190,416.56,240,191,416.56,241,459.9,574,344920.17,797.33,806,791,795,4.97,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.4,78.56,0,1499.25,50,416.85,240.67,190,416.56,241,186,416.56,240,187,417.42,241,449.76,563,337324.52,778.67,787,774,775,4.97,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.44,78.67,0,1500.62,50.02,416.85,240.67,181,416.56,241,177,416.56,240,178,417.42,241,424.54,535,318406.41,735,745,730,730,5.03,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.4,78.78,0,1496.75,50.03,417.42,241,187,417.42,241,183,417.42,241,184,417.42,241,436.69,555,327519,755,765,749,751,5.01,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.36,78.78,0,1499.5,49.91,416.85,240.67,186,416.56,241,182,416.56,240,183,417.42,241,444.76,551,333568.62,770,779,764,767,4.97,1,0,0,0,0,0,0,0,0,0,1270.2,0
28.4,78.89,0,1499.62,49.86,416.27,240.33,184,415.69,240,180,416.56,240,181,416.56,241,440.67,546,330501.82,764,774,757,761,4.96,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.36,79.11,0,1499.25,50.01,416.85,240.67,171,416.56,241,167,416.56,240,168,417.42,241,404.52,506,303387.16,700.33,710,694,697,5.03,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.36,79.17,0,1503.5,50.01,417.42,241,177,417.42,241,173,417.42,241,174,417.42,241,413.75,524,310310.15,715.33,724,709,713,4.98,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.4,79.39,0,1498.62,50.03,416.27,240.33,185,415.69,240,181,416.56,240,182,416.56,241,441.06,548,330791.65,764.67,772,758,764,4.96,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.4,79.5,0,1499.88,49.97,416.85,240.67,185,416.56,241,182,416.56,240,183,417.42,241,441.87,550,331402.59,765,772,759,764,4.92,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.4,79.56,0,1500.12,50.02,416.85,240.67,187,416.56,241,184,416.56,240,185,417.42,241,445.91,556,334435.03,772,779,766,771,4.98,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.48,79.67,0,1501,50.04,417.42,241,186,417.42,241,183,417.42,241,184,417.42,241,441.7,553,331280.05,763.67,771,757,763,4.96,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.44,79.72,0,1500.62,50.03,416.85,240.67,197,416.56,241,194,416.56,240,196,417.42,241,465.74,587,349306.99,806.33,814,799,806,4.94,1,0,0,0,0,0,0,0,0,0,1270.15,0
28.4,79.72,0,1500.12,50.08,416.85,240.67,207,416.56,241,203,416.56,240,206,417.42,241,492.51,617,369381.76,852.67,859,844,855,4.92,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.44,79.72,0,1501,49.97,416.85,240.67,208,416.56,241,205,416.56,240,208,417.42,241,495.01,621,371257.54,857,861,848,862,4.93,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.4,79.78,0,1497.75,49.95,416.27,240.33,199,415.69,240,196,416.56,240,198,416.56,241,488.74,593,366549.87,847.33,854,839,849,4.94,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.4,79.78,0,1503.88,50.06,417.42,241,200,417.42,241,197,417.42,241,200,417.42,241,470.43,597,352822.55,813.33,818,804,818,4.94,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.4,79.83,0,1498.12,49.89,416.27,240.33,208,415.69,240,204,416.56,240,207,416.56,241,497.78,619,373328.62,863,869,855,865,4.92,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.4,79.83,0,1501.88,49.98,416.27,240.33,205,415.69,240,202,416.56,240,206,416.56,241,496.05,613,372030.84,860,864,851,865,4.91,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.36,79.94,0,1503,50,416.85,240.67,210,416.56,241,206,416.56,240,209,417.42,241,502.13,625,376598.97,869.33,875,863,870,4.92,1,0,0,0,0,0,0,0,0,0,1270.1,0
28.36,79.94,0,1499.62,50.05,417.42,241,204,417.42,241,201,417.42,241,205,417.42,241,483.93,611,362947.45,836.67,840,828,842,4.96,1,0,0,0,0,0,0,0,0,0,1270.1,0
